vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,Virtual Machines A Series Windows - A3 - EU North,A3,WINDOWS,USD,ANNUAL,2995.92,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A3 - EU West,A3,WINDOWS,USD,ANNUAL,2995.92,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A3 - US Central,A3,WINDOWS,USD,ANNUAL,2995.92,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A3 - US East 2,A3,WINDOWS,USD,ANNUAL,2995.92,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A4 - EU North,A4,WINDOWS,USD,ANNUAL,5991.84,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A4 - EU West,A4,WINDOWS,USD,ANNUAL,5991.84,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A4 - US Central,A4,WINDOWS,USD,ANNUAL,5991.84,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A4 - US East 2,A4,WINDOWS,USD,ANNUAL,5991.84,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A5 - EU North,A5,WINDOWS,USD,ANNUAL,2496.60,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A5 - EU West,A5,WINDOWS,USD,ANNUAL,2829.48,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A5 - US Central,A5,WINDOWS,USD,ANNUAL,2746.26,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A5 - US East 2,A5,WINDOWS,USD,ANNUAL,2496.60,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A6 - EU North,A6,WINDOWS,USD,ANNUAL,4993.20,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A6 - EU West,A6,WINDOWS,USD,ANNUAL,5658.96,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A6 - US Central,A6,WINDOWS,USD,ANNUAL,5492.52,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A6 - US East 2,A6,WINDOWS,USD,ANNUAL,4993.20,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A7 - EU North,A7,WINDOWS,USD,ANNUAL,9986.40,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A7 - EU West,A7,WINDOWS,USD,ANNUAL,11317.92,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A7 - US Central,A7,WINDOWS,USD,ANNUAL,10985.04,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A7 - US East 2,A7,WINDOWS,USD,ANNUAL,9986.40,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A8 - EU North,A8,WINDOWS,USD,ANNUAL,11239.08,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A8 - EU West,A8,WINDOWS,USD,ANNUAL,12921.00,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A9 - EU North,A9,WINDOWS,USD,ANNUAL,22469.40,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A9 - EU West,A9,WINDOWS,USD,ANNUAL,25842.00,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A1 v2 - EU North,A1_V2,LINUX,USD,ANNUAL,341.64,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A1 v2 - EU West,A1_V2,LINUX,USD,ANNUAL,341.64,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A1 v2 - US Central,A1_V2,LINUX,USD,ANNUAL,358.28,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A1 v2 - US East 2,A1_V2,LINUX,USD,ANNUAL,358.28,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A2 v2 - EU North,A2_V2,LINUX,USD,ANNUAL,724.45,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A2 v2 - EU West,A2_V2,LINUX,USD,ANNUAL,724.45,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A2 v2 - US Central,A2_V2,LINUX,USD,ANNUAL,757.74,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A2 v2 - US East 2,A2_V2,LINUX,USD,ANNUAL,757.74,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A2m v2 - EU North,A2M_V2,LINUX,USD,ANNUAL,1157.20,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A2m v2 - EU West,A2M_V2,LINUX,USD,ANNUAL,1031.93,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A2m v2 - US Central,A2M_V2,LINUX,USD,ANNUAL,1073.98,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A2m v2 - US East 2,A2M_V2,LINUX,USD,ANNUAL,990.76,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A4 v2 - EU North,A4_V2,LINUX,USD,ANNUAL,1523.36,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A4 v2 - EU West,A4_V2,LINUX,USD,ANNUAL,1523.36,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A4 v2 - US Central,A4_V2,LINUX,USD,ANNUAL,1589.94,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A4 v2 - US East 2,A4_V2,LINUX,USD,ANNUAL,1589.94,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A4m v2 - EU North,A4M_V2,LINUX,USD,ANNUAL,2422.14,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A4m v2 - EU West,A4M_V2,LINUX,USD,ANNUAL,2163.72,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A4m v2 - US Central,A4M_V2,LINUX,USD,ANNUAL,2246.94,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A4m v2 - US East 2,A4M_V2,LINUX,USD,ANNUAL,2072.62,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A8 v2 - EU North,A8_V2,LINUX,USD,ANNUAL,3187.76,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A8 v2 - EU West,A8_V2,LINUX,USD,ANNUAL,3187.76,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A8 v2 - US Central,A8_V2,LINUX,USD,ANNUAL,3328.80,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A8 v2 - US East 2,A8_V2,LINUX,USD,ANNUAL,3328.80,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series - A8m v2 - EU North,A8M_V2,LINUX,USD,ANNUAL,5085.18,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series - A8m v2 - EU West,A8M_V2,LINUX,USD,ANNUAL,4543.81,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series - A8m v2 - US Central,A8M_V2,LINUX,USD,ANNUAL,4726.90,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series - A8m v2 - US East 2,A8M_V2,LINUX,USD,ANNUAL,4360.73,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A1 v2 - EU North,A1_V2,WINDOWS,USD,ANNUAL,515.96,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A1 v2 - EU West,A1_V2,WINDOWS,USD,ANNUAL,515.96,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A1 v2 - US Central,A1_V2,WINDOWS,USD,ANNUAL,541.37,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A1 v2 - US East 2,A1_V2,WINDOWS,USD,ANNUAL,541.37,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2 v2 - EU North,A2_V2,WINDOWS,USD,ANNUAL,1081.86,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2 v2 - EU West,A2_V2,WINDOWS,USD,ANNUAL,1081.86,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2 v2 - US Central,A2_V2,WINDOWS,USD,ANNUAL,1131.79,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2 v2 - US East 2,A2_V2,WINDOWS,USD,ANNUAL,1131.79,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2m v2 - EU North,A2M_V2,WINDOWS,USD,ANNUAL,1747.62,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2m v2 - EU West,A2M_V2,WINDOWS,USD,ANNUAL,1564.54,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2m v2 - US Central,A2M_V2,WINDOWS,USD,ANNUAL,1623.23,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A2m v2 - US East 2,A2M_V2,WINDOWS,USD,ANNUAL,1497.96,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4 v2 - EU North,A4_V2,WINDOWS,USD,ANNUAL,2280.23,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4 v2 - EU West,A4_V2,WINDOWS,USD,ANNUAL,2280.23,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4 v2 - US Central,A4_V2,WINDOWS,USD,ANNUAL,2380.09,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4 v2 - US East 2,A4_V2,WINDOWS,USD,ANNUAL,2380.09,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4m v2 - EU North,A4M_V2,WINDOWS,USD,ANNUAL,3670.44,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4m v2 - EU West,A4M_V2,WINDOWS,USD,ANNUAL,3278.87,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4m v2 - US Central,A4M_V2,WINDOWS,USD,ANNUAL,3412.02,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A4m v2 - US East 2,A4M_V2,WINDOWS,USD,ANNUAL,3145.72,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8 v2 - EU North,A8_V2,WINDOWS,USD,ANNUAL,4785.59,0,EU North
