vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,A4,Windows,CNY,ANNUAL,31093.24012,,CN EAST 2
Azure,Virtual Machines,A4,Windows,CNY,ANNUAL,31093.24012,,CN NORTH 2
Azure,Virtual Machines,A4_V2,Linux,CNY,ANNUAL,14358.41316,,CN EAST 2
Azure,Virtual Machines,A4_V2,Linux,CNY,ANNUAL,14358.41316,,CN NORTH 2
Azure,Virtual Machines,A4_V2,Linux,CNY,ANNUAL,10852.32,1,CN EAST 2
Azure,Virtual Machines,A4_V2,Linux,CNY,ANNUAL,10852.32,1,CN NORTH 2
Azure,Virtual Machines,A4_V2,Windows,CNY,ANNUAL,17873.50698,,CN EAST 2
Azure,Virtual Machines,A4_V2,Windows,CNY,ANNUAL,17873.50698,,CN NORTH 2
Azure,Virtual Machines,A4_V2,Windows,CNY,ANNUAL,13511.52,1,CN EAST 2
Azure,Virtual Machines,A4_V2,Windows,CNY,ANNUAL,13511.52,1,CN NORTH 2
Azure,Virtual Machines,A4M_V2,Linux,CNY,ANNUAL,30873.21804,,CN EAST 2
Azure,Virtual Machines,A4M_V2,Linux,CNY,ANNUAL,30873.21804,,CN NORTH 2
Azure,Virtual Machines,A4M_V2,Linux,CNY,ANNUAL,23334.72,1,CN EAST 2
Azure,Virtual Machines,A4M_V2,Linux,CNY,ANNUAL,23334.72,1,CN NORTH 2
Azure,Virtual Machines,A4M_V2,Windows,CNY,ANNUAL,32573.78712,,CN EAST 2
Azure,Virtual Machines,A4M_V2,Windows,CNY,ANNUAL,32573.78712,,CN NORTH 2
Azure,Virtual Machines,A4M_V2,Windows,CNY,ANNUAL,24619.56,1,CN EAST 2
Azure,Virtual Machines,A4M_V2,Windows,CNY,ANNUAL,24619.56,1,CN NORTH 2
Azure,Virtual Machines,A5,Linux,CNY,ANNUAL,13396.80271,,CN EAST 2
Azure,Virtual Machines,A5,Linux,CNY,ANNUAL,13396.80271,,CN NORTH 2
